ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
500
ITEM: BOX BOUNDS pp pp pp
0 100
0 100
0 100
ITEM: ATOMS id x y z 
176 29.4677 30.2771 76.0934 
177 29.1779 30.7509 76.0793 
178 28.8882 31.2247 76.0653 
179 28.5985 31.6986 76.0512 
180 28.3087 32.1724 76.0371 
181 80.6015 18.7811 14.7727 
182 80.2846 19.1229 15.075 
183 79.9678 19.4648 15.3773 
184 79.6509 19.8066 15.6795 
185 79.334 20.1485 15.9818 
186 79.0172 20.4903 16.2841 
187 78.7003 20.8322 16.5864 
188 78.3834 21.174 16.8887 
189 78.0666 21.5159 17.191 
190 77.7497 21.8577 17.4932 
191 30.4657 97.0126 71.0762 
192 30.4129 96.8685 70.5423 
193 30.3601 96.7244 70.0083 
194 30.3073 96.5804 69.4744 
195 30.2545 96.4363 68.9404 
196 30.2017 96.2922 68.4065 
197 30.1489 96.1481 67.8726 
198 30.0961 96.004 67.3386 
199 30.0433 95.8599 66.8047 
200 29.9905 95.7158 66.2708 
201 49.5447 41.4984 92.2618 
202 49.897 41.9171 92.1658 
203 50.2493 42.3358 92.0698 
204 50.6016 42.7545 91.9737 
205 50.9539 43.1732 91.8777 
206 51.3062 43.5919 91.7817 
207 51.6585 44.0106 91.6857 
208 52.0108 44.4293 91.5897 
209 52.363 44.848 91.4936 
210 52.7153 45.2667 91.3976 
211 57.6102 76.4911 90.9673 
212 57.1996 76.8183 90.7857 
213 56.7891 77.1455 90.6041 
214 56.3785 77.4727 90.4224 
215 55.9679 77.8 90.2408 
216 55.5573 78.1272 90.0592 
217 55.1467 78.4544 89.8775 
218 54.7362 78.7816 89.6959 
219 54.3256 79.1089 89.5143 
220 53.915 79.4361 89.3326 
221 45.4603 15.914 48.1191 
222 45.4456 15.374 47.9896 
223 45.431 14.8339 47.8601 
224 45.4164 14.2939 47.7307 
225 45.4017 13.7538 47.6012 
226 45.3871 13.2137 47.4717 
227 45.3725 12.6737 47.3423 
228 45.3578 12.1336 47.2128 
229 45.3432 11.5936 47.0833 
230 45.3286 11.0535 46.9539 
231 84.0888 86.7417 58.8597 
232 84.3835 87.1229 59.1362 
233 84.6782 87.5042 59.4126 
234 84.9729 87.8854 59.6891 
235 85.2676 88.2667 59.9656 
236 85.5624 88.648 60.242 
237 85.8571 89.0292 60.5185 
238 86.1518 89.4105 60.795 
239 86.4465 89.7917 61.0714 
240 86.7412 90.173 61.3479 
241 11.8901 31.1658 26.192 
242 11.3392 31.0971 26.1718 
243 10.7883 31.0285 26.1516 
244 10.2373 30.9599 26.1314 
245 9.6864 30.8913 26.1113 
246 9.13546 30.8226 26.0911 
247 8.58453 30.754 26.0709 
248 8.0336 30.6854 26.0507 
249 7.48267 30.6168 26.0305 
250 6.93174 30.5481 26.0103 
251 80.1899 74.1482 54.3911 
252 80.6795 73.9755 54.1932 
253 81.169 73.8028 53.9954 
254 81.6586 73.6302 53.7975 
255 82.1482 73.4575 53.5997 
256 82.6378 73.2848 53.4018 
257 83.1273 73.1121 53.204 
258 83.6169 72.9395 53.0061 
259 84.1065 72.7668 52.8082 
260 84.596 72.5941 52.6104 
261 30.2035 46.1798 37.0674 
262 30.1606 45.64 37.1911 
263 30.1177 45.1001 37.3149 
264 30.0748 44.5602 37.4387 
265 30.0319 44.0203 37.5625 
266 29.989 43.4804 37.6862 
267 29.9461 42.9405 37.81 
268 29.9032 42.4006 37.9338 
269 29.8602 41.8607 38.0576 
270 29.8173 41.3208 38.1813 
271 80.3721 81.9986 92.0971 
272 80.7039 82.0427 92.5406 
273 81.0356 82.0867 92.984 
274 81.3673 82.1308 93.4275 
275 81.6991 82.1748 93.8709 
276 82.0308 82.2189 94.3144 
277 82.3626 82.263 94.7578 
278 82.6943 82.307 95.2013 
279 83.026 82.3511 95.6447 
280 83.3578 82.3952 96.0882 
281 39.2526 16.4381 54.2221 
282 39.3359 16.3847 53.6754 
283 39.4193 16.3313 53.1288 
284 39.5027 16.2779 52.5821 
285 39.5861 16.2245 52.0355 
286 39.6694 16.171 51.4888 
287 39.7528 16.1176 50.9421 
288 39.8362 16.0642 50.3955 
289 39.9196 16.0108 49.8488 
290 40.0029 15.9574 49.3022 
291 84.2188 97.7591 44.6213 
292 84.2411 97.8564 45.1678 
293 84.2633 97.9538 45.7143 
294 84.2856 98.0511 46.2608 
295 84.3078 98.1485 46.8073 
296 84.3301 98.2458 47.3538 
297 84.3523 98.3432 47.9003 
298 84.3745 98.4405 48.4469 
299 84.3968 98.5379 48.9934 
300 84.419 98.6352 49.5399 
301 88.0855 3.8386 45.4936 
302 87.6533 3.50316 45.397 
303 87.2211 3.16772 45.3004 
304 86.7889 2.83228 45.2038 
305 86.3567 2.49684 45.1072 
306 85.9245 2.1614 45.0107 
307 85.4923 1.82596 44.9141 
308 85.0601 1.49052 44.8175 
309 84.628 1.15508 44.7209 
310 84.1958 0.819644 44.6243 
311 19.754 76.5212 47.4314 
312 19.7556 76.4833 46.8772 
313 19.7572 76.4453 46.3229 
314 19.7588 76.4074 45.7686 
315 19.7604 76.3695 45.2144 
316 19.7621 76.3316 44.6601 
317 19.7637 76.2936 44.1059 
318 19.7653 76.2557 43.5516 
319 19.7669 76.2178 42.9974 
320 19.7685 76.1799 42.4431 
321 82.8596 86.1943 89.9242 
322 82.5692 86.1409 89.4536 
323 82.2788 86.0875 88.983 
324 81.9884 86.0341 88.5124 
325 81.698 85.9807 88.0419 
326 81.4075 85.9273 87.5713 
327 81.1171 85.8739 87.1007 
328 80.8267 85.8206 86.6301 
329 80.5363 85.7672 86.1595 
330 80.2459 85.7138 85.6889 
331 51.7396 74.205 71.1603 
332 51.954 73.8142 71.4918 
333 52.1685 73.4234 71.8234 
334 52.3829 73.0325 72.1549 
335 52.5973 72.6417 72.4865 
336 52.8118 72.2509 72.818 
337 53.0262 71.8601 73.1496 
338 53.2407 71.4693 73.4811 
339 53.4551 71.0785 73.8126 
340 53.6695 70.6877 74.1442 
341 54.3481 40.0468 8.67974 
342 54.0215 40.493 8.73355 
343 53.6949 40.9392 8.78735 
344 53.3683 41.3854 8.84115 
345 53.0417 41.8316 8.89496 
346 52.7152 42.2778 8.94876 
347 52.3886 42.724 9.00256 
348 52.062 43.1702 9.05636 
349 51.7354 43.6164 9.11017 
350 51.4088 44.0626 9.16397 
351 74.9143 51.0854 48.0359 
352 75.2997 51.4174 47.8126 
353 75.6851 51.7494 47.5893 
354 76.0706 52.0814 47.366 
355 76.456 52.4134 47.1427 
356 76.8414 52.7454 46.9194 
357 77.2268 53.0774 46.6961 
358 77.6123 53.4093 46.4728 
359 77.9977 53.7413 46.2495 
360 78.3831 54.0733 46.0262 
361 57.0734 35.5891 76.3574 
362 57.2698 35.8777 75.9252 
363 57.4663 36.1663 75.493 
364 57.6627 36.4549 75.0609 
365 57.8591 36.7435 74.6287 
366 58.0555 37.0321 74.1965 
367 58.2519 37.3207 73.7644 
368 58.4484 37.6093 73.3322 
369 58.6448 37.8979 72.9 
370 58.8412 38.1865 72.4679 
371 96.3026 28.6738 84.2486 
372 95.9122 28.3647 84.0023 
373 95.5217 28.0556 83.756 
374 95.1313 27.7465 83.5097 
375 94.7409 27.4374 83.2634 
376 94.3505 27.1283 83.0171 
377 93.96 26.8192 82.7708 
378 93.5696 26.5101 82.5245 
379 93.1792 26.2011 82.2782 
380 92.7887 25.892 82.0319 
381 51.5124 49.8254 76.5477 
382 51.9586 49.507 76.4573 
383 52.4048 49.1887 76.3669 
384 52.851 48.8703 76.2764 
385 53.2973 48.552 76.186 
386 53.7435 48.2336 76.0955 
387 54.1897 47.9152 76.0051 
388 54.6359 47.5969 75.9147 
389 55.0821 47.2785 75.8242 
390 55.5283 46.9602 75.7338 
391 7.25515 28.2319 50.6696 
392 7.4324 27.9213 50.2444 
393 7.60966 27.6107 49.8193 
394 7.78691 27.3002 49.3941 
395 7.96416 26.9896 48.9689 
396 8.14142 26.679 48.5438 
397 8.31867 26.3684 48.1186 
398 8.49593 26.0578 47.6935 
399 8.67318 25.7473 47.2683 
400 8.85044 25.4367 46.8431 
401 51.5683 32.7426 49.498 
402 51.2169 32.518 49.8651 
403 50.8655 32.2934 50.2321 
404 50.5141 32.0689 50.5992 
405 50.1627 31.8443 50.9662 
406 49.8113 31.6197 51.3333 
407 49.4599 31.3951 51.7004 
408 49.1086 31.1706 52.0674 
409 48.7572 30.946 52.4345 
410 48.4058 30.7214 52.8015 
411 20.8485 48.6225 22.9775 
412 21.2691 48.5226 23.3264 
413 21.6897 48.4227 23.6754 
414 22.1103 48.3228 24.0243 
415 22.5309 48.2229 24.3733 
416 22.9515 48.123 24.7223 
417 23.3721 48.0231 25.0712 
418 23.7927 47.9232 25.4202 
419 24.2132 47.8234 25.7691 
420 24.6338 47.7235 26.1181 
421 15.2536 3.72654 10.8709 
422 15.3195 4.15841 11.2141 
423 15.3853 4.59028 11.5573 
424 15.4511 5.02215 11.9006 
425 15.5169 5.45402 12.2438 
426 15.5827 5.88589 12.587 
427 15.6486 6.31776 12.9302 
428 15.7144 6.74963 13.2734 
429 15.7802 7.1815 13.6166 
430 15.846 7.61337 13.9599 
431 17.6755 73.9424 31.6355 
432 18.0426 73.6885 31.9662 
433 18.4098 73.4346 32.2969 
434 18.7769 73.1807 32.6277 
435 19.1441 72.9268 32.9584 
436 19.5112 72.673 33.2892 
437 19.8784 72.4191 33.6199 
438 20.2455 72.1652 33.9506 
439 20.6127 71.9113 34.2814 
440 20.9798 71.6574 34.6121 
441 0.476527 23.2947 75.8069 
442 99.9384 23.365 75.6879 
443 99.4004 23.4354 75.569 
444 98.8623 23.5058 75.45 
445 98.3242 23.5761 75.331 
